idx	label	predict	radius	correct	time
8100	162	162	0.854	1	0:02:07.962944
8200	164	-1	0.0	0	0:02:08.366874
8300	166	-1	0.0	0	0:02:09.674073
8400	168	-1	0.0	0	0:02:08.796097
8500	170	-1	0.0	0	0:02:08.566545
8600	172	172	0.182	1	0:02:09.449025
8700	174	247	0.195	0	0:02:08.381325
8800	176	-1	0.0	0	0:02:08.957923
8900	178	178	1.16	1	0:02:08.424396
9000	180	-1	0.0	0	0:02:09.038943
9100	182	-1	0.0	0	0:02:08.772506
9200	184	-1	0.0	0	0:02:09.107089
9300	186	192	0.233	0	0:02:08.279785
9400	188	189	0.282	0	0:02:08.580259
9500	190	222	0.541	0	0:02:08.225935
9600	192	183	0.439	0	0:02:08.589550
9700	194	-1	0.0	0	0:02:09.081900
9800	196	199	0.154	0	0:02:08.596560
9900	198	198	0.201	1	0:02:08.877752
10000	200	200	0.542	1	0:02:08.652269
10100	202	182	0.2	0	0:02:09.559278
10200	204	155	0.205	0	0:02:08.625425
10300	206	209	0.136	0	0:02:08.786760
10400	208	208	0.706	1	0:02:08.212815
10500	210	210	0.782	1	0:02:08.331407
10600	212	-1	0.0	0	0:02:09.807985
10700	214	-1	0.0	0	0:02:09.366625
10800	216	216	0.0706	1	0:02:08.303952
10900	218	218	1.49	1	0:02:08.911549
11000	220	-1	0.0	0	0:02:07.983046
11100	222	222	0.353	1	0:02:09.521349
11200	224	183	0.274	0	0:02:09.590992
11300	226	-1	0.0	0	0:02:08.940282
11400	228	-1	0.0	0	0:02:09.094565
11500	230	230	1.6	1	0:02:08.581400
11600	232	232	0.359	1	0:02:08.605319
11700	234	-1	0.0	0	0:02:08.705447
11800	236	-1	0.0	0	0:02:08.289630
11900	238	238	0.695	1	0:02:08.911294
12000	240	-1	0.0	0	0:02:08.642768
12100	242	-1	0.0	0	0:02:08.573880
12200	244	244	1.43	1	0:02:09.321045
12300	246	-1	0.0	0	0:02:09.387773
12400	248	249	0.111	0	0:02:08.790114
12500	250	-1	0.0	0	0:02:10.331093
12600	252	266	0.113	0	0:02:10.806429
12700	254	-1	0.0	0	0:02:10.313492
12800	256	256	0.123	1	0:02:08.719081
12900	258	537	0.073	0	0:02:10.497293
13000	260	260	0.405	1	0:02:10.041867
13100	262	262	1.49	1	0:02:09.600050
13200	264	264	0.654	1	0:02:10.058491
13300	266	265	1.02	0	0:02:09.541092
13400	268	268	1.11	1	0:02:10.010059
13500	270	270	0.393	1	0:02:09.130691
13600	272	-1	0.0	0	0:02:09.066474
13700	274	274	1.04	1	0:02:09.226358
13800	276	-1	0.0	0	0:02:09.943843
13900	278	274	0.562	0	0:02:10.965086
14000	280	280	0.171	1	0:02:10.153844
14100	282	285	1.25	0	0:02:10.298699
14200	284	284	1.6	1	0:02:11.952749
14300	286	286	1.6	1	0:02:09.479175
14400	288	290	0.922	0	0:02:09.505415
14500	290	290	1.49	1	0:02:10.569099
14600	292	290	1.6	0	0:02:10.281238
14700	294	294	1.03	1	0:02:09.386685
14800	296	-1	0.0	0	0:02:10.714226
14900	298	-1	0.0	0	0:02:09.923153
15000	300	300	1.49	1	0:02:09.720014
15100	302	314	0.402	0	0:02:09.281378
15200	304	304	0.401	1	0:02:10.404719
15300	306	306	0.503	1	0:02:10.762386
15400	308	308	0.814	1	0:02:10.423298
15500	310	310	0.577	1	0:02:09.623670
15600	312	-1	0.0	0	0:02:09.266644
15700	314	312	0.801	0	0:02:09.143707
15800	316	318	0.452	0	0:02:10.501180
15900	318	77	1.18	0	0:02:09.778558
16000	320	320	0.38	1	0:02:10.925212
16100	322	322	0.161	1	0:02:08.899409
16200	324	324	0.698	1	0:02:09.726612
16300	326	322	0.222	0	0:02:10.784062
16400	328	108	0.216	0	0:02:09.691061
16500	330	330	0.226	1	0:02:09.216499
16600	332	-1	0.0	0	0:02:10.020227
16700	334	-1	0.0	0	0:02:10.384551
16800	336	336	0.456	1	0:02:09.303466
16900	338	-1	0.0	0	0:02:09.242882
17000	340	340	1.6	1	0:02:09.364517
17100	342	-1	0.0	0	0:02:08.395838
17200	344	344	0.285	1	0:02:09.995624
17300	346	205	0.0338	0	0:02:10.724580
17400	348	348	1.36	1	0:02:09.458245
17500	350	349	0.13	0	0:02:10.212536
17600	352	352	0.342	1	0:02:08.882115
17700	354	354	0.771	1	0:02:09.132846
17800	356	-1	0.0	0	0:02:11.005086
17900	358	-1	0.0	0	0:02:09.544807
18000	360	360	1.03	1	0:02:10.461112
18100	362	362	1.6	1	0:02:11.902045
18200	364	-1	0.0	0	0:02:09.968723
18300	366	379	0.133	0	0:02:09.841433
18400	368	368	0.129	1	0:02:09.268448
18500	370	-1	0.0	0	0:02:08.888341
18600	372	-1	0.0	0	0:02:10.220434
18700	374	-1	0.0	0	0:02:09.830729
18800	376	-1	0.0	0	0:02:09.258993
18900	378	379	0.32	0	0:02:09.857235
19000	380	380	0.352	1	0:02:10.446867
19100	382	-1	0.0	0	0:02:09.540520
19200	384	-1	0.0	0	0:02:08.496205
19300	386	-1	0.0	0	0:02:08.826336
19400	388	-1	0.0	0	0:02:09.181228
19500	390	390	0.985	1	0:02:09.056831
19600	392	397	0.477	0	0:02:10.144519
19700	394	-1	0.0	0	0:02:08.528969
19800	396	396	1.6	1	0:02:09.582434
19900	398	398	1.6	1	0:02:10.073542
20000	400	-1	0.0	0	0:02:08.728959
20100	402	546	0.252	0	0:02:08.258688
20200	404	404	1.6	1	0:02:09.285113
20300	406	406	0.984	1	0:02:09.464076
20400	408	847	0.535	0	0:02:09.912185
20500	410	-1	0.0	0	0:02:09.877171
20600	412	-1	0.0	0	0:02:10.178734
20700	414	414	1.31	1	0:02:10.077987
20800	416	602	0.442	0	0:02:09.844597
20900	418	784	0.0466	0	0:02:10.471036
21000	420	-1	0.0	0	0:02:10.034280
21100	422	-1	0.0	0	0:02:09.777400
21200	424	424	0.259	1	0:02:09.669767
21300	426	426	0.885	1	0:02:09.522389
21400	428	428	1.49	1	0:02:09.906753
21500	430	430	0.647	1	0:02:10.017389
21600	432	432	0.691	1	0:02:09.587705
21700	434	434	1.01	1	0:02:11.666131
21800	436	436	1.6	1	0:02:10.374126
21900	438	438	0.36	1	0:02:10.251922
22000	440	440	1.36	1	0:02:10.184212
22100	442	442	1.43	1	0:02:09.288153
22200	444	870	0.659	0	0:02:08.635016
22300	446	-1	0.0	0	0:02:09.735018
22400	448	-1	0.0	0	0:02:10.157521
22500	450	-1	0.0	0	0:02:09.961798
22600	452	-1	0.0	0	0:02:09.561615
22700	454	454	1.49	1	0:02:10.539791
22800	456	-1	0.0	0	0:02:09.947006
22900	458	458	1.39	1	0:02:10.447611
23000	460	975	0.604	0	0:02:10.614293
23100	462	-1	0.0	0	0:02:10.101450
23200	464	570	0.495	0	0:02:09.750523
23300	466	466	1.6	1	0:02:09.340935
23400	468	468	1.6	1	0:02:10.129453
23500	470	-1	0.0	0	0:02:09.548329
23600	472	472	0.716	1	0:02:10.453821
23700	474	735	0.783	0	0:02:09.109796
23800	476	476	1.6	1	0:02:10.185375
23900	478	492	0.144	0	0:02:09.569217
24000	480	760	0.349	0	0:02:09.421305
24100	482	848	0.996	0	0:02:09.731713
24200	484	-1	0.0	0	0:02:09.147653
24300	486	486	1.6	1	0:02:08.969735
24400	488	649	0.148	0	0:02:09.670568
24500	490	490	0.726	1	0:02:09.507781
24600	492	-1	0.0	0	0:02:10.610642
24700	494	907	0.809	0	0:02:10.280890
24800	496	496	1.6	1	0:02:09.905371
24900	498	498	1.6	1	0:02:10.254446
25000	500	500	1.43	1	0:02:09.952899
25100	502	502	0.178	1	0:02:08.881526
25200	504	504	1.6	1	0:02:10.471208
25300	506	506	0.602	1	0:02:09.344972
25400	508	508	0.666	1	0:02:09.576150
25500	510	510	1.6	1	0:02:08.913741
25600	512	726	0.139	0	0:02:08.486461
25700	514	514	1.6	1	0:02:09.073476
25800	516	520	1.13	0	0:02:08.297557
25900	518	518	1.31	1	0:02:09.000278
26000	520	520	1.49	1	0:02:09.014316
26100	522	522	1.6	1	0:02:09.027409
26200	524	-1	0.0	0	0:02:09.170581
26300	526	526	0.656	1	0:02:08.944050
26400	528	-1	0.0	0	0:02:09.764325
26500	530	826	0.201	0	0:02:09.160045
26600	532	532	1.6	1	0:02:09.377555
26700	534	-1	0.0	0	0:02:08.768579
26800	536	403	0.432	0	0:02:10.537041
26900	538	-1	0.0	0	0:02:10.305312
27000	540	540	1.6	1	0:02:10.166479
27100	542	-1	0.0	0	0:02:09.331851
27200	544	-1	0.0	0	0:02:11.044994
27300	546	546	1.05	1	0:02:10.530700
27400	548	548	1.31	1	0:02:10.409524
27500	550	505	0.969	0	0:02:09.810819
27600	552	552	1.6	1	0:02:10.257132
27700	554	554	1.14	1	0:02:11.786835
27800	556	-1	0.0	0	0:02:08.751289
27900	558	222	0.166	0	0:02:10.152248
28000	560	560	1.49	1	0:02:10.975457
28100	562	562	1.6	1	0:02:10.208469
28200	564	564	1.05	1	0:02:09.864132
28300	566	-1	0.0	0	0:02:09.403346
28400	568	399	0.0725	0	0:02:09.159106
28500	570	-1	0.0	0	0:02:10.299456
28600	572	-1	0.0	0	0:02:09.045017
28700	574	574	1.6	1	0:02:11.248210
28800	576	576	1.14	1	0:02:09.845200
28900	578	-1	0.0	0	0:02:09.717929
29000	580	580	0.612	1	0:02:09.774858
29100	582	-1	0.0	0	0:02:10.440918
29200	584	398	0.28	0	0:02:09.551085
29300	586	586	0.705	1	0:02:11.005886
29400	588	588	1.2	1	0:02:09.694463
29500	590	-1	0.0	0	0:02:08.614987
29600	592	592	0.585	1	0:02:09.053035
29700	594	-1	0.0	0	0:02:10.263353
29800	596	456	0.177	0	0:02:09.624806
29900	598	819	0.0612	0	0:02:09.796065
30000	600	561	0.431	0	0:02:09.488491
30100	602	602	0.206	1	0:02:10.114779
30200	604	604	0.0929	1	0:02:11.148911
30300	606	693	0.333	0	0:02:10.221628
30400	608	775	0.0469	0	0:02:10.059910
30500	610	610	1.6	1	0:02:08.989894
30600	612	612	0.0532	1	0:02:09.084393
30700	614	614	1.25	1	0:02:09.413666
30800	616	822	0.131	0	0:02:08.994445
30900	618	606	0.326	0	0:02:08.991712
31000	620	620	0.147	1	0:02:10.030550
31100	622	622	1.15	1	0:02:09.915332
31200	624	-1	0.0	0	0:02:10.803222
31300	626	626	1.39	1	0:02:09.794070
31400	628	628	0.764	1	0:02:09.729646
31500	630	703	1.21	0	0:02:11.362736
31600	632	632	1.6	1	0:02:10.472851
31700	634	489	0.706	0	0:02:09.085958
31800	636	748	1.6	0	0:02:10.744133
31900	638	639	0.285	0	0:02:10.331356
32000	640	640	1.6	1	0:02:09.643203
32100	642	-1	0.0	0	0:02:09.672145
32200	644	862	0.0856	0	0:02:09.314490
32300	646	506	0.809	0	0:02:09.069374
32400	648	493	1.3	0	0:02:10.482900
32500	650	655	0.28	0	0:02:10.158709
32600	652	652	0.256	1	0:02:10.031593
32700	654	436	1.18	0	0:02:10.619473
32800	656	627	0.185	0	0:02:10.173099
32900	658	658	0.935	1	0:02:09.674565
33000	660	660	0.0334	1	0:02:09.394807
33100	662	-1	0.0	0	0:02:10.195811
33200	664	480	0.643	0	0:02:09.687394
33300	666	-1	0.0	0	0:02:10.714278
33400	668	668	0.68	1	0:02:10.276971
33500	670	665	0.435	0	0:02:08.853298
33600	672	-1	0.0	0	0:02:09.955462
33700	674	674	1.07	1	0:02:09.678565
33800	676	-1	0.0	0	0:02:09.537879
33900	678	678	0.26	1	0:02:09.242849
34000	680	-1	0.0	0	0:02:10.003157
34100	682	682	1.6	1	0:02:08.595527
34200	684	645	0.44	0	0:02:09.261499
34300	686	535	0.332	0	0:02:10.550779
34400	688	688	1.13	1	0:02:09.678511
34500	690	690	0.879	1	0:02:09.985573
34600	692	860	0.347	0	0:02:10.300598
34700	694	694	0.352	1	0:02:08.776340
34800	696	-1	0.0	0	0:02:08.906164
34900	698	-1	0.0	0	0:02:09.387271
35000	700	-1	0.0	0	0:02:09.087902
35100	702	702	0.355	1	0:02:08.925135
35200	704	-1	0.0	0	0:02:08.999381
35300	706	706	0.357	1	0:02:10.416111
35400	708	682	1.36	0	0:02:09.462879
35500	710	-1	0.0	0	0:02:09.872625
35600	712	746	0.116	0	0:02:10.681505
35700	714	714	0.00213	1	0:02:09.804336
35800	716	660	0.869	0	0:02:10.414254
35900	718	718	1.4	1	0:02:09.958189
36000	720	720	0.617	1	0:02:08.518026
36100	722	736	1.0	0	0:02:10.134222
36200	724	780	1.33	0	0:02:09.797799
36300	726	726	0.45	1	0:02:10.031918
36400	728	-1	0.0	0	0:02:10.583890
36500	730	856	0.9	0	0:02:09.761460
36600	732	732	0.386	1	0:02:09.044089
36700	734	734	0.789	1	0:02:10.008094
36800	736	736	1.6	1	0:02:09.619537
36900	738	738	0.123	1	0:02:08.955909
37000	740	-1	0.0	0	0:02:11.018151
37100	742	-1	0.0	0	0:02:10.294079
37200	744	557	0.0374	0	0:02:08.951281
37300	746	746	1.6	1	0:02:10.100794
37400	748	692	0.251	0	0:02:09.453697
37500	750	-1	0.0	0	0:02:09.396407
37600	752	674	0.209	0	0:02:10.524144
37700	754	848	0.0631	0	0:02:09.609413
37800	756	756	0.568	1	0:02:09.722891
37900	758	758	0.0907	1	0:02:10.309615
38000	760	760	0.209	1	0:02:10.381668
38100	762	-1	0.0	0	0:02:09.455260
38200	764	-1	0.0	0	0:02:09.502593
38300	766	766	0.339	1	0:02:10.330025
38400	768	768	0.602	1	0:02:09.488697
38500	770	615	0.238	0	0:02:09.226935
38600	772	-1	0.0	0	0:02:08.618958
38700	774	774	1.6	1	0:02:09.546300
38800	776	699	0.419	0	0:02:09.442364
38900	778	480	0.65	0	0:02:09.177237
39000	780	780	0.639	1	0:02:09.886150
39100	782	-1	0.0	0	0:02:11.627078
39200	784	-1	0.0	0	0:02:10.635003
39300	786	-1	0.0	0	0:02:11.217413
39400	788	-1	0.0	0	0:02:11.097701
39500	790	791	1.6	0	0:02:11.102295
39600	792	792	0.169	1	0:02:10.055033
39700	794	794	0.815	1	0:02:10.528899
39800	796	796	1.49	1	0:02:09.611424
39900	798	635	0.888	0	0:02:09.762732
40000	800	800	0.199	1	0:02:09.625382
40100	802	802	0.661	1	0:02:10.011041
40200	804	804	0.235	1	0:02:11.738343
40300	806	806	1.6	1	0:02:09.639003
40400	808	808	0.117	1	0:02:09.778067
40500	810	878	1.6	0	0:02:11.275443
40600	812	812	1.6	1	0:02:10.383014
40700	814	-1	0.0	0	0:02:09.738372
40800	816	-1	0.0	0	0:02:11.222082
40900	818	-1	0.0	0	0:02:11.496936
41000	820	820	0.196	1	0:02:10.321419
41100	822	822	1.6	1	0:02:09.230477
41200	824	824	0.534	1	0:02:09.356189
41300	826	531	1.6	0	0:02:09.233014
41400	828	618	0.383	0	0:02:09.366883
41500	830	830	0.729	1	0:02:10.059915
41600	832	832	1.15	1	0:02:10.659091
41700	834	577	0.251	0	0:02:09.896884
41800	836	-1	0.0	0	0:02:09.322681
41900	838	692	0.122	0	0:02:10.117857
42000	840	-1	0.0	0	0:02:10.454803
42100	842	639	0.535	0	0:02:08.526315
42200	844	844	1.29	1	0:02:12.725104
42300	846	493	0.62	0	0:02:09.426396
42400	848	-1	0.0	0	0:02:09.985391
42500	850	-1	0.0	0	0:02:09.664679
42600	852	722	0.364	0	0:02:11.007415
42700	854	884	0.506	0	0:02:11.215391
42800	856	-1	0.0	0	0:02:10.646831
42900	858	858	1.32	1	0:02:10.012180
43000	860	860	0.37	1	0:02:11.968490
43100	862	862	0.908	1	0:02:11.050997
43200	864	407	0.314	0	0:02:09.336216
43300	866	-1	0.0	0	0:02:09.924392
43400	868	967	0.0897	0	0:02:10.742465
43500	870	870	0.725	1	0:02:11.292653
43600	872	872	0.802	1	0:02:10.068803
43700	874	874	1.6	1	0:02:10.188532
43800	876	-1	0.0	0	0:02:08.902559
43900	878	878	1.6	1	0:02:10.845743
44000	880	870	1.6	0	0:02:10.023126
44100	882	-1	0.0	0	0:02:09.297815
44200	884	884	1.22	1	0:02:08.393833
44300	886	886	0.652	1	0:02:09.743582
44400	888	888	0.0711	1	0:02:10.391481
44500	890	890	1.13	1	0:02:09.632493
44600	892	892	0.792	1	0:02:09.444357
44700	894	894	0.714	1	0:02:08.411646
44800	896	-1	0.0	0	0:02:10.088653
44900	898	-1	0.0	0	0:02:09.643582
45000	900	900	1.6	1	0:02:10.062366
45100	902	-1	0.0	0	0:02:11.308042
45200	904	854	0.244	0	0:02:09.129502
45300	906	906	0.576	1	0:02:09.720940
45400	908	895	0.599	0	0:02:10.758942
45500	910	910	0.193	1	0:02:10.855542
45600	912	912	0.878	1	0:02:10.915105
45700	914	914	0.128	1	0:02:10.697888
45800	916	916	0.455	1	0:02:08.926254
45900	918	918	1.6	1	0:02:08.825765
46000	920	-1	0.0	0	0:02:11.060232
46100	922	922	0.704	1	0:02:10.692752
46200	924	924	0.153	1	0:02:09.299781
46300	926	926	1.6	1	0:02:08.495170
46400	928	927	0.187	0	0:02:08.136344
46500	930	961	0.813	0	0:02:09.304559
46600	932	415	0.317	0	0:02:10.209116
46700	934	934	1.15	1	0:02:10.411654
46800	936	936	1.1	1	0:02:10.883200
46900	938	935	0.223	0	0:02:09.288301
47000	940	-1	0.0	0	0:02:09.065384
47100	942	941	0.536	0	0:02:08.947901
47200	944	946	0.479	0	0:02:08.759075
47300	946	946	1.6	1	0:02:08.356358
47400	948	948	1.6	1	0:02:09.605083
47500	950	950	1.6	1	0:02:10.054757
47600	952	90	1.39	0	0:02:11.300490
47700	954	987	0.219	0	0:02:09.553128
47800	956	956	0.288	1	0:02:10.189870
47900	958	958	0.413	1	0:02:08.845600
48000	960	960	1.11	1	0:02:09.464143
48100	962	962	0.993	1	0:02:09.645436
48200	964	-1	0.0	0	0:02:10.599305
48300	966	774	0.11	0	0:02:08.312037
48400	968	968	1.26	1	0:02:10.360911
48500	970	795	0.507	0	0:02:10.007673
48600	972	979	1.01	0	0:02:09.545840
48700	974	974	1.33	1	0:02:09.900388
48800	976	972	1.29	0	0:02:10.991851
48900	978	-1	0.0	0	0:02:08.299265
49000	980	980	0.594	1	0:02:09.799151
49100	982	982	1.2	1	0:02:09.221598
49200	984	984	1.6	1	0:02:09.411468
49300	986	-1	0.0	0	0:02:09.555438
49400	988	-1	0.0	0	0:02:09.888182
49500	990	990	0.263	1	0:02:09.650261
49600	992	992	0.337	1	0:02:11.166258
49700	994	994	1.14	1	0:02:10.132226
49800	996	996	0.367	1	0:02:09.895638
49900	998	987	0.976	0	0:02:10.306234
