idx	label	predict	radius	correct	time
8900	178	178	0.8	1	0:02:10.975255
9000	180	180	0.0308	1	0:02:09.657619
9100	182	-1	0.0	0	0:02:09.552808
9200	184	-1	0.0	0	0:02:08.653715
9300	186	192	0.458	0	0:02:08.946131
9400	188	202	0.0844	0	0:02:09.558433
9500	190	222	0.344	0	0:02:08.769196
9600	192	183	0.0554	0	0:02:10.088454
9700	194	202	0.151	0	0:02:10.044048
9800	196	198	0.22	0	0:02:07.897306
9900	198	198	0.315	1	0:02:08.957371
10000	200	200	0.56	1	0:02:08.576201
10100	202	182	0.208	0	0:02:09.327374
10200	204	155	0.277	0	0:02:08.858752
10300	206	209	0.0194	0	0:02:08.725226
10400	208	208	0.68	1	0:02:08.748605
10500	210	210	0.743	1	0:02:08.482072
10600	212	-1	0.0	0	0:02:08.343541
10700	214	214	0.162	1	0:02:09.843004
10800	216	216	0.452	1	0:02:08.882261
10900	218	218	0.8	1	0:02:08.606162
11000	220	220	0.147	1	0:02:10.564582
11100	222	222	0.342	1	0:02:09.877685
11200	224	183	0.289	0	0:02:09.365011
11300	226	202	0.0519	0	0:02:09.744782
11400	228	228	0.042	1	0:02:08.878682
11500	230	230	0.8	1	0:02:09.795708
11600	232	232	0.133	1	0:02:09.035047
11700	234	224	0.0645	0	0:02:10.388700
11800	236	236	0.383	1	0:02:09.237258
11900	238	238	0.696	1	0:02:10.207870
12000	240	238	0.164	0	0:02:08.822648
12100	242	-1	0.0	0	0:02:09.274765
12200	244	244	0.8	1	0:02:08.761023
12300	246	180	0.0808	0	0:02:08.607051
12400	248	-1	0.0	0	0:02:09.170945
12500	250	222	0.114	0	0:02:08.634558
12600	252	-1	0.0	0	0:02:08.096682
12700	254	243	0.479	0	0:02:08.618198
12800	256	256	0.0872	1	0:02:08.040340
12900	258	-1	0.0	0	0:02:08.200704
13000	260	260	0.58	1	0:02:09.830434
13100	262	262	0.8	1	0:02:08.119852
13200	264	264	0.588	1	0:02:09.640091
13300	266	265	0.743	0	0:02:09.405207
13400	268	268	0.533	1	0:02:08.066890
13500	270	270	0.58	1	0:02:08.455427
13600	272	274	0.373	0	0:02:08.938408
13700	274	274	0.599	1	0:02:08.264066
13800	276	293	0.113	0	0:02:08.616972
13900	278	274	0.171	0	0:02:07.845325
14000	280	280	0.315	1	0:02:08.287260
14100	282	285	0.715	0	0:02:08.558750
14200	284	284	0.8	1	0:02:08.962165
14300	286	286	0.8	1	0:02:09.090630
14400	288	290	0.465	0	0:02:09.375446
14500	290	290	0.8	1	0:02:09.287683
14600	292	290	0.8	0	0:02:08.649773
14700	294	294	0.618	1	0:02:08.259479
14800	296	296	0.456	1	0:02:09.553320
14900	298	-1	0.0	0	0:02:08.022120
15000	300	300	0.8	1	0:02:08.898464
15100	302	314	0.0455	0	0:02:09.193183
15200	304	304	0.594	1	0:02:07.753516
15300	306	306	0.8	1	0:02:08.604722
15400	308	308	0.505	1	0:02:08.296646
15500	310	310	0.425	1	0:02:08.063100
15600	312	-1	0.0	0	0:02:09.365745
15700	314	312	0.615	0	0:02:07.714941
15800	316	-1	0.0	0	0:02:09.490937
15900	318	77	0.667	0	0:02:09.633751
16000	320	320	0.147	1	0:02:09.391518
16100	322	322	0.348	1	0:02:08.794155
16200	324	324	0.222	1	0:02:08.665637
16300	326	-1	0.0	0	0:02:08.567822
16400	328	108	0.221	0	0:02:08.898631
16500	330	330	0.585	1	0:02:10.050627
16600	332	-1	0.0	0	0:02:09.508050
16700	334	334	0.316	1	0:02:08.724330
16800	336	336	0.00897	1	0:02:09.216601
16900	338	617	0.0725	0	0:02:09.564279
17000	340	340	0.8	1	0:02:07.789649
17100	342	-1	0.0	0	0:02:08.380468
17200	344	344	0.125	1	0:02:07.908643
17300	346	205	0.0899	0	0:02:09.747915
17400	348	348	0.8	1	0:02:08.665156
17500	350	349	0.143	0	0:02:09.652064
17600	352	352	0.743	1	0:02:08.323512
17700	354	354	0.743	1	0:02:09.157681
17800	356	358	0.0468	0	0:02:08.962729
17900	358	-1	0.0	0	0:02:09.299973
18000	360	360	0.8	1	0:02:08.917259
18100	362	362	0.8	1	0:02:08.931325
18200	364	364	0.186	1	0:02:08.549970
18300	366	379	0.101	0	0:02:08.485588
18400	368	368	0.271	1	0:02:08.092341
18500	370	382	0.062	0	0:02:07.769878
18600	372	-1	0.0	0	0:02:09.060128
18700	374	367	0.0337	0	0:02:09.088038
18800	376	-1	0.0	0	0:02:08.918524
18900	378	379	0.238	0	0:02:08.848741
19000	380	380	0.479	1	0:02:08.624426
19100	382	382	0.5	1	0:02:09.199470
19200	384	-1	0.0	0	0:02:09.337507
19300	386	386	0.288	1	0:02:09.401357
19400	388	790	0.0103	0	0:02:08.534329
19500	390	390	0.667	1	0:02:09.198660
19600	392	397	0.531	0	0:02:09.126062
19700	394	-1	0.0	0	0:02:09.381614
19800	396	396	0.8	1	0:02:09.510882
19900	398	398	0.8	1	0:02:09.370231
20000	400	400	0.594	1	0:02:08.892055
20100	402	546	0.133	0	0:02:08.183079
20200	404	404	0.8	1	0:02:08.337999
20300	406	406	0.449	1	0:02:08.538409
20400	408	847	0.445	0	0:02:09.304783
20500	410	410	0.469	1	0:02:08.969517
20600	412	-1	0.0	0	0:02:09.444109
20700	414	414	0.618	1	0:02:08.483437
20800	416	602	0.362	0	0:02:08.245996
20900	418	563	0.0527	0	0:02:08.701532
21000	420	-1	0.0	0	0:02:08.015726
21100	422	602	0.027	0	0:02:08.517758
21200	424	424	0.656	1	0:02:08.810801
21300	426	426	0.667	1	0:02:08.160740
21400	428	428	0.8	1	0:02:08.656482
21500	430	430	0.8	1	0:02:08.351736
21600	432	432	0.8	1	0:02:08.716069
21700	434	434	0.8	1	0:02:08.525440
21800	436	436	0.8	1	0:02:09.248261
21900	438	925	0.332	0	0:02:09.255906
22000	440	440	0.8	1	0:02:08.300064
22100	442	442	0.8	1	0:02:10.027550
22200	444	870	0.594	0	0:02:09.177835
22300	446	921	0.0237	0	0:02:09.664047
22400	448	624	0.213	0	0:02:10.952800
22500	450	-1	0.0	0	0:02:08.821823
22600	452	452	0.18	1	0:02:09.618456
22700	454	454	0.8	1	0:02:08.456763
22800	456	601	0.0162	0	0:02:08.244583
22900	458	458	0.8	1	0:02:09.684479
23000	460	975	0.311	0	0:02:09.483790
23100	462	-1	0.0	0	0:02:08.375300
23200	464	570	0.0555	0	0:02:08.326787
23300	466	466	0.8	1	0:02:08.020803
23400	468	468	0.8	1	0:02:09.618626
23500	470	453	0.217	0	0:02:09.153008
23600	472	472	0.0153	1	0:02:09.655252
23700	474	735	0.428	0	0:02:09.041089
23800	476	476	0.8	1	0:02:08.792924
23900	478	478	0.407	1	0:02:09.104353
24000	480	-1	0.0	0	0:02:09.339483
24100	482	848	0.489	0	0:02:08.916874
24200	484	484	0.266	1	0:02:08.855238
24300	486	486	0.8	1	0:02:08.165494
24400	488	649	0.155	0	0:02:08.912699
24500	490	490	0.8	1	0:02:08.755045
24600	492	-1	0.0	0	0:02:08.359103
24700	494	907	0.743	0	0:02:07.612981
24800	496	496	0.8	1	0:02:09.094514
24900	498	498	0.8	1	0:02:08.841400
25000	500	500	0.8	1	0:02:08.570973
25100	502	502	0.2	1	0:02:08.800750
25200	504	504	0.8	1	0:02:08.744592
25300	506	506	0.239	1	0:02:10.596656
25400	508	508	0.209	1	0:02:09.506210
25500	510	510	0.8	1	0:02:09.147567
25600	512	-1	0.0	0	0:02:09.876618
25700	514	514	0.8	1	0:02:08.851489
25800	516	520	0.8	0	0:02:08.631595
25900	518	518	0.743	1	0:02:09.245588
26000	520	520	0.8	1	0:02:09.595684
26100	522	522	0.8	1	0:02:08.637664
26200	524	524	0.327	1	0:02:09.189886
26300	526	526	0.519	1	0:02:08.319048
26400	528	674	0.0647	0	0:02:08.575830
26500	530	531	0.0774	0	0:02:09.527145
26600	532	532	0.8	1	0:02:08.951046
26700	534	411	0.33	0	0:02:09.552105
26800	536	403	0.8	0	0:02:08.918949
26900	538	538	0.677	1	0:02:08.852632
27000	540	540	0.8	1	0:02:08.266649
27100	542	636	0.0465	0	0:02:10.460496
27200	544	926	0.148	0	0:02:08.191011
27300	546	546	0.8	1	0:02:08.503016
27400	548	548	0.8	1	0:02:08.869425
27500	550	505	0.8	0	0:02:08.429151
27600	552	552	0.8	1	0:02:08.997248
27700	554	554	0.8	1	0:02:08.732115
27800	556	703	0.186	0	0:02:08.849584
27900	558	-1	0.0	0	0:02:08.450743
28000	560	560	0.8	1	0:02:10.022465
28100	562	562	0.8	1	0:02:09.851400
28200	564	564	0.8	1	0:02:10.081074
28300	566	776	0.0163	0	0:02:09.945941
28400	568	568	0.148	1	0:02:08.137753
28500	570	-1	0.0	0	0:02:08.007806
28600	572	-1	0.0	0	0:02:09.615458
28700	574	574	0.8	1	0:02:08.584008
28800	576	576	0.8	1	0:02:10.736094
28900	578	-1	0.0	0	0:02:08.785595
29000	580	580	0.715	1	0:02:08.355993
29100	582	860	0.218	0	0:02:08.392983
29200	584	398	0.349	0	0:02:09.890818
29300	586	586	0.478	1	0:02:08.259275
29400	588	588	0.8	1	0:02:09.411857
29500	590	590	0.0809	1	0:02:09.598825
29600	592	592	0.623	1	0:02:08.855407
29700	594	594	0.255	1	0:02:08.698128
29800	596	-1	0.0	0	0:02:08.701801
29900	598	598	0.0289	1	0:02:08.266256
30000	600	-1	0.0	0	0:02:09.359556
30100	602	602	0.322	1	0:02:09.206030
30200	604	604	0.557	1	0:02:08.562929
30300	606	693	0.0409	0	0:02:07.883544
30400	608	775	0.172	0	0:02:08.360830
30500	610	610	0.8	1	0:02:08.016873
30600	612	612	0.181	1	0:02:09.981334
30700	614	614	0.8	1	0:02:08.160612
30800	616	822	0.182	0	0:02:08.266711
30900	618	606	0.161	0	0:02:07.848253
31000	620	620	0.324	1	0:02:08.655310
31100	622	622	0.8	1	0:02:07.896520
31200	624	-1	0.0	0	0:02:07.963820
31300	626	626	0.8	1	0:02:08.216708
31400	628	628	0.517	1	0:02:09.203865
31500	630	703	0.696	0	0:02:08.953768
31600	632	632	0.8	1	0:02:09.248025
31700	634	489	0.0753	0	0:02:08.323642
31800	636	748	0.61	0	0:02:08.968911
31900	638	639	0.412	0	0:02:08.817478
32000	640	640	0.8	1	0:02:08.658007
32100	642	642	0.68	1	0:02:08.636844
32200	644	-1	0.0	0	0:02:08.470026
32300	646	506	0.8	0	0:02:09.625363
32400	648	493	0.8	0	0:02:09.221844
32500	650	655	0.297	0	0:02:07.980722
32600	652	652	0.385	1	0:02:08.326668
32700	654	436	0.8	0	0:02:08.647360
32800	656	436	0.106	0	0:02:09.675982
32900	658	658	0.743	1	0:02:08.181301
33000	660	660	0.115	1	0:02:07.766660
33100	662	662	0.286	1	0:02:09.286824
33200	664	480	0.604	0	0:02:08.260182
33300	666	-1	0.0	0	0:02:09.176190
33400	668	668	0.8	1	0:02:09.488206
33500	670	665	0.367	0	0:02:08.112122
33600	672	672	0.571	1	0:02:08.350191
33700	674	674	0.8	1	0:02:09.439552
33800	676	678	0.148	0	0:02:08.798059
33900	678	678	0.3	1	0:02:09.521020
34000	680	793	0.0656	0	0:02:08.479401
34100	682	682	0.8	1	0:02:08.803538
34200	684	645	0.428	0	0:02:08.322248
34300	686	535	0.509	0	0:02:07.731816
34400	688	688	0.8	1	0:02:07.463019
34500	690	690	0.8	1	0:02:08.002431
34600	692	860	0.68	0	0:02:08.180112
34700	694	694	0.656	1	0:02:08.816538
34800	696	-1	0.0	0	0:02:10.635284
34900	698	663	0.0288	0	0:02:10.942827
35000	700	-1	0.0	0	0:02:11.570361
35100	702	702	0.217	1	0:02:10.154284
35200	704	424	0.185	0	0:02:08.514359
35300	706	706	0.101	1	0:02:08.899502
35400	708	682	0.8	0	0:02:09.950064
35500	710	-1	0.0	0	0:02:09.783449
35600	712	712	0.0117	1	0:02:08.537207
35700	714	714	0.355	1	0:02:08.094973
35800	716	660	0.36	0	0:02:08.798303
35900	718	718	0.8	1	0:02:08.601017
36000	720	720	0.353	1	0:02:08.235302
36100	722	736	0.533	0	0:02:08.402825
36200	724	780	0.8	0	0:02:09.074281
36300	726	726	0.63	1	0:02:09.127939
36400	728	-1	0.0	0	0:02:09.385970
36500	730	856	0.715	0	0:02:08.842313
36600	732	732	0.63	1	0:02:09.344515
36700	734	734	0.8	1	0:02:09.226522
36800	736	736	0.8	1	0:02:08.166166
36900	738	706	0.0193	0	0:02:09.342891
37000	740	-1	0.0	0	0:02:08.947961
37100	742	-1	0.0	0	0:02:09.765563
37200	744	657	0.157	0	0:02:08.604804
37300	746	746	0.8	1	0:02:09.582846
37400	748	692	0.492	0	0:02:09.775047
37500	750	-1	0.0	0	0:02:08.993232
37600	752	674	0.0899	0	0:02:08.855507
37700	754	848	0.432	0	0:02:08.795519
37800	756	756	0.345	1	0:02:09.371562
37900	758	758	0.327	1	0:02:09.962835
38000	760	760	0.202	1	0:02:09.165306
38100	762	-1	0.0	0	0:02:08.033528
38200	764	-1	0.0	0	0:02:08.599346
38300	766	766	0.448	1	0:02:08.454476
38400	768	768	0.8	1	0:02:09.048414
38500	770	615	0.402	0	0:02:09.231294
38600	772	772	0.8	1	0:02:10.186134
38700	774	774	0.8	1	0:02:08.333889
38800	776	699	0.381	0	0:02:09.272901
38900	778	480	0.391	0	0:02:08.494658
39000	780	780	0.616	1	0:02:08.911116
39100	782	664	0.191	0	0:02:08.417476
39200	784	-1	0.0	0	0:02:09.509806
39300	786	423	0.122	0	0:02:07.998024
39400	788	788	0.357	1	0:02:09.205945
39500	790	791	0.8	0	0:02:09.278678
39600	792	792	0.179	1	0:02:08.090393
39700	794	794	0.743	1	0:02:09.043170
39800	796	796	0.8	1	0:02:08.905090
39900	798	635	0.547	0	0:02:09.091002
40000	800	800	0.8	1	0:02:08.654683
40100	802	802	0.68	1	0:02:07.816521
40200	804	804	0.24	1	0:02:08.271281
40300	806	806	0.8	1	0:02:09.299213
40400	808	808	0.636	1	0:02:08.411393
40500	810	878	0.8	0	0:02:08.092644
40600	812	812	0.8	1	0:02:08.541371
40700	814	-1	0.0	0	0:02:08.890073
40800	816	816	0.071	1	0:02:08.055014
40900	818	-1	0.0	0	0:02:08.356419
41000	820	820	0.8	1	0:02:08.582979
41100	822	822	0.8	1	0:02:10.363987
41200	824	824	0.43	1	0:02:08.915867
41300	826	531	0.8	0	0:02:09.441741
41400	828	618	0.0831	0	0:02:08.504773
41500	830	830	0.743	1	0:02:09.826902
41600	832	832	0.8	1	0:02:09.293100
41700	834	577	0.0595	0	0:02:08.623986
41800	836	830	0.268	0	0:02:08.670675
41900	838	-1	0.0	0	0:02:08.237380
42000	840	778	0.302	0	0:02:08.330539
42100	842	639	0.147	0	0:02:08.427710
42200	844	844	0.8	1	0:02:08.058993
42300	846	493	0.264	0	0:02:08.551056
42400	848	848	0.209	1	0:02:09.473866
42500	850	850	0.103	1	0:02:08.497113
42600	852	-1	0.0	0	0:02:08.405165
42700	854	854	0.656	1	0:02:11.598838
42800	856	856	0.0792	1	0:02:07.887903
42900	858	858	0.8	1	0:02:08.139262
43000	860	860	0.401	1	0:02:09.378607
43100	862	862	0.691	1	0:02:08.992108
43200	864	407	0.191	0	0:02:08.725693
43300	866	866	0.581	1	0:02:08.334023
43400	868	967	0.247	0	0:02:08.060951
43500	870	870	0.566	1	0:02:07.684185
43600	872	872	0.251	1	0:02:09.012370
43700	874	874	0.8	1	0:02:08.608810
43800	876	435	0.0819	0	0:02:09.498712
43900	878	878	0.8	1	0:02:07.624121
44000	880	870	0.8	0	0:02:08.787217
44100	882	493	0.00577	0	0:02:08.288098
44200	884	884	0.8	1	0:02:08.302746
44300	886	886	0.68	1	0:02:07.452610
44400	888	-1	0.0	0	0:02:08.510365
44500	890	890	0.8	1	0:02:09.456563
44600	892	892	0.715	1	0:02:09.381431
44700	894	894	0.477	1	0:02:07.786030
44800	896	925	0.0468	0	0:02:07.791586
44900	898	-1	0.0	0	0:02:07.987941
45000	900	900	0.8	1	0:02:08.705398
45100	902	902	0.16	1	0:02:08.099694
45200	904	-1	0.0	0	0:02:08.136717
45300	906	906	0.401	1	0:02:08.031283
45400	908	895	0.564	0	0:02:08.876252
45500	910	641	0.215	0	0:02:07.188072
45600	912	912	0.404	1	0:02:08.391489
45700	914	914	0.236	1	0:02:08.262815
45800	916	916	0.0966	1	0:02:09.606177
45900	918	918	0.8	1	0:02:08.263083
46000	920	-1	0.0	0	0:02:07.830342
46100	922	922	0.417	1	0:02:07.854238
46200	924	924	0.567	1	0:02:08.399935
46300	926	926	0.8	1	0:02:09.426054
46400	928	927	0.379	0	0:02:08.346658
46500	930	961	0.484	0	0:02:08.481010
46600	932	-1	0.0	0	0:02:09.345376
46700	934	934	0.8	1	0:02:08.145612
46800	936	936	0.8	1	0:02:08.578473
46900	938	935	0.271	0	0:02:08.159150
47000	940	940	0.0155	1	0:02:09.065225
47100	942	-1	0.0	0	0:02:07.906472
47200	944	946	0.8	0	0:02:08.815180
47300	946	946	0.8	1	0:02:07.985161
47400	948	948	0.8	1	0:02:07.593539
47500	950	950	0.8	1	0:02:08.864691
47600	952	90	0.8	0	0:02:08.131388
47700	954	954	0.393	1	0:02:07.980784
47800	956	956	0.603	1	0:02:08.349381
47900	958	958	0.416	1	0:02:07.874759
48000	960	960	0.8	1	0:02:08.666373
48100	962	962	0.8	1	0:02:08.644153
48200	964	964	0.182	1	0:02:08.233102
48300	966	-1	0.0	0	0:02:09.038563
48400	968	968	0.8	1	0:02:08.932418
48500	970	795	0.584	0	0:02:08.080202
48600	972	979	0.507	0	0:02:08.770934
48700	974	974	0.8	1	0:02:09.650392
48800	976	972	0.667	0	0:02:08.447797
48900	978	838	0.0579	0	0:02:07.855620
49000	980	980	0.319	1	0:02:08.032452
49100	982	982	0.8	1	0:02:08.167929
49200	984	984	0.8	1	0:02:08.173715
49300	986	986	0.196	1	0:02:08.087132
49400	988	988	0.303	1	0:02:08.840927
49500	990	990	0.289	1	0:02:09.391921
49600	992	992	0.687	1	0:02:08.827041
49700	994	994	0.715	1	0:02:08.660862
49800	996	996	0.496	1	0:02:08.359631
49900	998	987	0.8	0	0:02:08.385143
